CHALLENGE_NUM,UNIQUENESS,EVAL_BITS,REP_BITS
0,0.5,6,13
1,0.4375,6,13
2,0.45,6,13
3,0.475,6,13
4,0.4875,6,13
5,0.5625,6,13
6,0.4875,6,13
7,0.5375,6,13
8,0.6125,6,13
9,0.5625,6,13
10,0.525,6,13
11,0.4375,6,13
12,0.5,6,13
13,0.425,6,13
14,0.45,6,13
15,0.5125,6,13
16,0.5125,6,13
17,0.6,6,13
18,0.5125,6,13
19,0.5,6,13
20,0.4875,6,13
21,0.5125,6,13
22,0.6,6,13
23,0.4625,6,13
24,0.5,6,13
25,0.4625,6,13
26,0.5125,6,13
27,0.5125,6,13
28,0.5125,6,13
29,0.6375,6,13
30,0.4875,6,13
31,0.4625,6,13
32,0.55,6,13
33,0.5,6,13
34,0.5375,6,13
35,0.5875,6,13
36,0.5625,6,13
37,0.5625,6,13
38,0.5,6,13
39,0.4,6,13
40,0.475,6,13
41,0.5125,6,13
42,0.55,6,13
43,0.4375,6,13
44,0.525,6,13
45,0.5625,6,13
46,0.45,6,13
47,0.525,6,13
48,0.5,6,13
49,0.525,6,13
50,0.5125,6,13
51,0.5625,6,13
52,0.5625,6,13
53,0.575,6,13
54,0.5125,6,13
55,0.45,6,13
56,0.4125,6,13
57,0.4375,6,13
58,0.525,6,13
59,0.4875,6,13
60,0.5125,6,13
61,0.4,6,13
62,0.575,6,13
63,0.4625,6,13
64,0.4875,6,13
65,0.4,6,13
66,0.475,6,13
67,0.5375,6,13
68,0.6375,6,13
69,0.5125,6,13
70,0.525,6,13
71,0.5,6,13
72,0.4375,6,13
73,0.425,6,13
74,0.4625,6,13
75,0.475,6,13
76,0.525,6,13
77,0.4375,6,13
78,0.575,6,13
79,0.4875,6,13
80,0.3875,6,13
81,0.4375,6,13
82,0.425,6,13
83,0.4625,6,13
84,0.5625,6,13
85,0.5375,6,13
86,0.45,6,13
87,0.475,6,13
88,0.45,6,13
89,0.5125,6,13
90,0.525,6,13
91,0.5,6,13
92,0.5375,6,13
93,0.525,6,13
94,0.475,6,13
95,0.3875,6,13
96,0.5,6,13
97,0.5,6,13
98,0.525,6,13
99,0.525,6,13
100,0.55,6,13
101,0.5375,6,13
102,0.5375,6,13
103,0.55,6,13
104,0.5375,6,13
105,0.625,6,13
106,0.5625,6,13
107,0.525,6,13
108,0.4875,6,13
109,0.5375,6,13
110,0.4625,6,13
111,0.5375,6,13
112,0.4875,6,13
113,0.5125,6,13
114,0.4375,6,13
115,0.425,6,13
116,0.4375,6,13
117,0.5125,6,13
118,0.475,6,13
119,0.475,6,13
